Country,Capital,CountryFreq,CapitalFreq,CountryCapitalFreq,CapitalCountryFreq
Afghanistan,Kabul,2585561,569018,0,0
Albania,Tirana,856220,93785,0,0
Algeria,Algiers,1572847,607854,0,0
Angola,Luanda,1207249,136488,0,0
Armenia,Yerevan,771590,68428,0,0
Australia,Canberra,12954096,937075,0,0
Austria,Vienna,4905486,4870085,42,54
Azerbaijan,Baku,418076,223321,0,0
Bahamas,Nassau,549335,545985,0,0
Bahrain,Manama,430215,29621,0,0
Bangladesh,Dhaka,1879468,261838,0,0
Barbados,Bridgetown,781538,64554,0,0
Belarus,Minsk,270350,205192,0,0
Belgium,Brussels,3508619,2383771,0,0
Belize,Belmopan,543724,17625,0,0
Benin,Porto-Novo,525072,0,0,0
Bhutan,Thimphu,367112,14911,0,0
Botswana,Gaborone,762758,81580,0,0
Brazil,Brasília,6259794,20346,0,0
Bulgaria,Sofia,1705598,596812,0,0
Burundi,Bujumbura,310563,24222,0,0
Cameroon,Yaoundé,641384,10754,0,0
Canada,Ottawa,21262685,2234842,0,0
Chad,N'Djamena,885638,12551,0,0
Chile,Santiago,3329414,1550447,0,0
China,Beijing,31555942,2621396,0,0
Colombia,Bogotá,2098299,89380,0,0
Comoros,Moroni,62790,69141,0,0
Croatia,Zagreb,801142,359368,0,0
Cuba,Havana,5059634,1212171,0,0
Cyprus,Nicosia,1673798,166193,0,0
Denmark,Copenhagen,3408568,1547131,0,0
Dominica,Roseau,227249,32645,0,0
Ecuador,Quito,1068447,311170,0,0
Egypt,Cairo,10222620,2475692,41,28
Eritrea,Asmara,335876,65715,0,0
Estonia,Tallinn,671549,133983,0,0
Fiji,Suva,796207,126842,0,0
Finland,Helsinki,2861909,1133665,0,0
France,Paris,31969576,27561043,120,210
Gabon,Libreville,295378,37399,0,0
Georgia,Tbilisi,6345374,121578,0,0
Germany,Berlin,26583963,11557491,313,212
Ghana,Accra,2018747,371939,0,0
Greece,Athens,5827360,3775865,46,188
Guinea,Conakry,2871130,64987,0,0
Guinea-Bissau,Bissau,0,187529,0,0
Guyana,Georgetown,545768,865089,0,0
Haiti,Port-au-Prince,1265352,0,0,0
Honduras,Tegucigalpa,933010,73631,0,0
Hungary,Budapest,4169812,1516699,0,0
Iceland,Reykjavík,1141504,4435,0,0
Indonesia,Jakarta,4354388,676604,0,0
Iran,Tehran,5003145,651252,0,0
Iraq,Baghdad,5205954,1242649,0,0
Ireland,Dublin,11262280,3768634,29,39
Israel,Jerusalem,17673330,7339704,250,201
Italy,Rome,13733024,13488958,181,705
Jamaica,Kingston,2200244,1141910,0,0
Japan,Tokyo,25649785,5409845,0,0
Jordan,Amman,4640582,332175,0,0
Kazakhstan,Astana,515488,12098,0,0
Kenya,Nairobi,3022330,1002361,0,0
Kyrgyzstan,Bishkek,135862,24702,0,0
Laos,Vientiane,1023753,126277,0,0
Latvia,Riga,593758,355529,0,0
Lebanon,Beirut,2409525,1095501,0,0
Lesotho,Maseru,453813,53994,0,0
Liberia,Monrovia,831881,150547,0,0
Libya,Tripoli,1174627,463314,0,0
Liechtenstein,Vaduz,162935,22234,0,0
Lithuania,Vilnius,917578,160916,0,0
Macedonia,Skopje,859265,86668,0,0
Madagascar,Antananarivo,744975,28358,0,0
Malawi,Lilongwe,695919,40774,0,0
Maldives,Malé,127603,893,0,0
Mali,Bamako,665614,88231,0,0
Malta,Valletta,960004,47916,0,0
Mauritania,Nouakchott,278715,24423,0,0
Micronesia,Palikir,185527,1633,0,0
Moldova,Chișinău,193055,0,0,0
Montenegro,Podgorica,347952,9712,0,0
Mozambique,Maputo,1010493,111241,0,0
Namibia,Windhoek,759200,128337,0,0
Nepal,Kathmandu,1926998,390203,0,0
Nicaragua,Managua,1749628,221537,36,0
Niger,Niamey,943536,43968,0,0
Nigeria,Abuja,4371419,83822,0,0
Norway,Oslo,3513602,1022028,0,0
Oman,Muscat,563064,167572,0,0
Pakistan,Islamabad,7196258,227989,0,0
Palau,Ngerulmud,152800,0,0,0
Paraguay,Asunción,717364,24206,0,0
Peru,Lima,3047507,1239042,0,15
Philippines,Manila,4537935,1948693,0,0
Poland,Warsaw,6795135,2273608,0,0
Portugal,Lisbon,3175526,1065330,0,0
Qatar,Doha,307227,151776,0,0
Romania,Bucharest,1601707,507320,0,0
Russia,Moscow,15492976,9089350,13,0
Rwanda,Kigali,733878,63459,0,0
Samoa,Apia,549905,53210,0,0
Senegal,Dakar,877950,335684,0,0
Serbia,Belgrade,1096219,789250,0,0
Seychelles,Victoria,205283,5011074,0,0
Singapore,Singapore,4793277,4793277,0,0
Slovakia,Bratislava,647362,259208,0,0
Slovenia,Ljubljana,524576,176372,0,0
Somalia,Mogadishu,797665,112175,0,0
Spain,Madrid,11814160,3045123,0,0
Sudan,Khartoum,2218809,439900,0,0
Suriname,Paramaribo,171003,41171,0,0
Swaziland,Mbabane,367758,23146,0,0
Sweden,Stockholm,5422503,2118782,0,0
Switzerland,Bern,4033855,663061,0,0
Syria,Damascus,3064083,1096698,36,23
Tajikistan,Dushanbe,205554,35865,0,0
Tanzania,Dodoma,1598659,28682,0,0
Thailand,Bangkok,3414744,1175481,0,0
Togo,Lomé,370468,16899,0,0
Tonga,Nukuʻalofa,355138,0,0,0
Tunisia,Tunis,878765,445448,0,0
Turkey,Ankara,4948188,480756,0,0
Turkmenistan,Ashgabat,181908,8946,0,0
Tuvalu,Funafuti,61251,15371,0,0
Uganda,Kampala,1740299,220640,0,0
Ukraine,Kiev,1697260,738240,0,0
Uruguay,Montevideo,1096286,293094,0,0
Uzbekistan,Tashkent,380805,238449,0,0
Venezuela,Caracas,1860173,508000,0,17
Vietnam,Hanoi,8583215,867295,0,0
Yemen,Sana'a,817012,23146,0,0
Zambia,Lusaka,1087653,250420,0,0
Zimbabwe,Harare,1322630,205062,0,0
