Country,Capital
Afghanistan,Kabul
Albania,Tirana
Algeria,Algiers
Angola,Luanda
Armenia,Yerevan
Australia,Canberra
Austria,Vienna
Azerbaijan,Baku
Bahamas,Nassau
Bahrain,Manama
Bangladesh,Dhaka
Barbados,Bridgetown
Belarus,Minsk
Belgium,Brussels
Belize,Belmopan
Benin,Porto-Novo
Bhutan,Thimphu
Botswana,Gaborone
Brazil,Brasília
Bulgaria,Sofia
Burundi,Bujumbura
Cameroon,Yaoundé
Canada,Ottawa
Chad,N'Djamena
Chile,Santiago
China,Beijing
Colombia,Bogotá
Comoros,Moroni
Croatia,Zagreb
Cuba,Havana
Cyprus,Nicosia
Denmark,Copenhagen
Dominica,Roseau
Ecuador,Quito
Egypt,Cairo
Eritrea,Asmara
Estonia,Tallinn
Fiji,Suva
Finland,Helsinki
France,Paris
Gabon,Libreville
Georgia,Tbilisi
Germany,Berlin
Ghana,Accra
Greece,Athens
Guinea,Conakry
Guinea-Bissau,Bissau
Guyana,Georgetown
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Hungary,Budapest
Iceland,Reykjavík
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Ireland,Dublin
Israel,Jerusalem
Italy,Rome
Jamaica,Kingston
Japan,Tokyo
Jordan,Amman
Kazakhstan,Astana
Kenya,Nairobi
Kyrgyzstan,Bishkek
Laos,Vientiane
Latvia,Riga
Lebanon,Beirut
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli
Liechtenstein,Vaduz
Lithuania,Vilnius
Macedonia,Skopje
Madagascar,Antananarivo
Malawi,Lilongwe
Maldives,Malé
Mali,Bamako
Malta,Valletta
Mauritania,Nouakchott
Micronesia,Palikir
Moldova,Chișinău
Montenegro,Podgorica
Mozambique,Maputo
Namibia,Windhoek
Nepal,Kathmandu
Nicaragua,Managua
Niger,Niamey
Nigeria,Abuja
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Palau,Ngerulmud
Paraguay,Asunción
Peru,Lima
Philippines,Manila
Poland,Warsaw
Portugal,Lisbon
Qatar,Doha
Romania,Bucharest
Russia,Moscow
Rwanda,Kigali
Samoa,Apia
Senegal,Dakar
Serbia,Belgrade
Seychelles,Victoria
Singapore,Singapore
Slovakia,Bratislava
Slovenia,Ljubljana
Somalia,Mogadishu
Spain,Madrid
Sudan,Khartoum
Suriname,Paramaribo
Swaziland,Mbabane
Sweden,Stockholm
Switzerland,Bern
Syria,Damascus
Tajikistan,Dushanbe
Tanzania,Dodoma
Thailand,Bangkok
Togo,Lomé
Tonga,Nukuʻalofa
Tunisia,Tunis
Turkey,Ankara
Turkmenistan,Ashgabat
Tuvalu,Funafuti
Uganda,Kampala
Ukraine,Kiev
Uruguay,Montevideo
Uzbekistan,Tashkent
Venezuela,Caracas
Vietnam,Hanoi
Yemen,Sana'a
Zambia,Lusaka
Zimbabwe,Harare
